"polish"	"indpol_hindi"	"indpol_marathi"	"hindi_meaning"	"marathi_meaning"	"english_meaning"	"pos"	"level"
"aspekt"	"असपेकत"	"असपएकत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: aspect]"	"aspect"	"noun"	"C1"
"atak"	"अतअक"	"अतअक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: attack]"	"attack"	"noun"	"A2"
"autobus"	"अुतोबुस"	"अउतओबउस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bus]"	"bus"	"noun"	"B2"
"autor"	"अुतोर"	"अउतओर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: author]"	"author"	"noun"	"B1"
"autorytet"	"अुतोरितेत"	"अउतओरइतएत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: authority]"	"authority"	"noun"	"B1"
"aż do"	"अझ दो"	"अझ दओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: until]"	"until"	"noun"	"A1"
"babcia"	"बअबचिअ"	"बअबचिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"babka"	"बअबकअ"	"बअबकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: grandmother]"	"grandmother"	"noun"	"B2"
"bać"	"बअच"	"बअच"	"डर लगना"	"भीती वाटणे"	""	"verb"	"A1"
"badania"	"बअदअनिअ"	"बअदअनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: research]"	"research"	"noun"	"C1"
"bałagan"	"बअवअगअन"	"बअवअगअन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mess]"	"mess"	"noun"	"B2"
"Bank"	"बअनक"	"बअनक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bank]"	"bank"	"noun"	"A2"
"bar"	"बअर"	"बअर"	"बार"	"बार"	""	"noun"	"A1"
"bardzo"	"बअरजो"	"बअरजओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: very]"	"very"	"noun"	"A1"
"basen"	"बअसेन"	"बअसएन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: pool]"	"pool"	"noun"	"B2"
"baza"	"बअज़अ"	"बअज़अ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: base]"	"base"	"noun"	"B1"
"belka"	"बेलकअ"	"बएलकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: beam]"	"beam"	"noun"	"B2"
"bestia"	"बेसतिअ"	"बएसतइअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: beast]"	"beast"	"noun"	"B2"
"bez"	"बेज़"	"बएज़"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: without]"	"without"	"noun"	"A1"
"bez smaku"	"बेज़ समअकु"	"बएज़ समअकउ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"bezpieczeństwo"	"बेज़पिेचेञसतवो"	"बएज़पइएचएञसतवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: security]"	"security"	"noun"	"B2"
"bezpieczny"	"बेज़पिेचनि"	"बएज़पइएचनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: safe]"	"safe"	"noun"	"A2"
"bezpośrednio"	"बेज़पोशरेदनिो"	"बएज़पओशरएदनिओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: directly]"	"directly"	"noun"	"B1"
"biały"	"बिअवि"	"बइअवइ"	"सफेद"	"पांढरा"	"white"	"noun"	"A1"
"biblioteka"	"बिबलिोतेकअ"	"बइबलइओतएकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: library]"	"library"	"noun"	"B2"
"biczować"	"बिचोवअच"	"बइचओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to whip]"	"to whip"	"verb"	"B2"
"biegać"	"बिेगअच"	"बइएगअच"	"दौड़ना"	"धावणे"	"to run"	"verb"	"A1"
"biodro"	"बिोदरो"	"बइओदरओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: hip]"	"hip"	"noun"	"B2"
"bitwa"	"बितवअ"	"बइतवअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: battle]"	"battle"	"noun"	"A2"
"biurko"	"बिुरको"	"बइउरकओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: desk]"	"desk"	"noun"	"A2"
"biuro"	"बिुरो"	"बइउरओ"	"कार्यालय"	"कार्यालय"	""	"noun"	"A1"
"biznes"	"बिज़नेस"	"बइज़नएस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: business]"	"business"	"noun"	"A1"
"błąd"	"बवओंद"	"बवओंद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mistake]"	"mistake"	"noun"	"A2"
"blady"	"बलअदि"	"बलअदइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: pale]"	"pale"	"noun"	"A2"
"błagać"	"बवअगअच"	"बवअगअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to beg]"	"to beg"	"verb"	"B1"
"Blisko"	"बलिसको"	"बलइसकओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: near]"	"near"	"noun"	"A1"
"blok"	"बलोक"	"बलओक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: block]"	"block"	"noun"	"B1"
"błyskotliwy"	"बविसकोतलिवि"	"बवइसकओतलइवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: brilliant]"	"brilliant"	"noun"	"C1"
"błysnąć"	"बविसनओंच"	"बवइसनओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to flash]"	"to flash"	"noun"	"A2"
"bo"	"बो"	"बओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: because]"	"because"	"noun"	"A1"
"bóg"	"बउग"	"बउग"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: god]"	"god"	"noun"	"B1"
"bogaty"	"बोगअति"	"बओगअतइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: rich]"	"rich"	"noun"	"A2"
"bohater"	"बोहअतेर"	"बओहअतएर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: hero]"	"hero"	"noun"	"B1"
"bok"	"बोक"	"बओक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: side]"	"side"	"noun"	"A1"
"ból"	"बउल"	"बउल"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: pain]"	"pain"	"noun"	"A2"
"boleć"	"बोलेच"	"बओलएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to ache]"	"to ache"	"verb"	"B2"
"Boże Narodzenie"	"बोझे नअरोजेनिे"	"बओझए नअरओजएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: Christmas]"	"Christmas"	"noun"	"B1"
"brać"	"बरअच"	"बरअच"	"लेना"	"घेणे"	"to take"	"verb"	"A1"
"brak"	"बरअक"	"बरअक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lack]"	"lack"	"noun"	"B1"
"brama"	"बरअमअ"	"बरअमअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: gate]"	"gate"	"noun"	"A2"
"brat"	"बरअत"	"बरअत"	"भाई"	"भाऊ"	"brother"	"noun"	"A1"
"brązowy"	"बरओंज़ोवि"	"बरओंज़ओवइ"	"भूरा"	"तपकिरी"	"brown"	"noun"	"A1"
"brew"	"बरेव"	"बरएव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: eyebrow]"	"eyebrow"	"noun"	"B2"
"broń"	"बरोञ"	"बरओञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: weapon]"	"weapon"	"noun"	"B1"
"bronić"	"बरोनिच"	"बरओनिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to defend]"	"to defend"	"verb"	"C1"
"brud"	"बरुद"	"बरउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: dirt]"	"dirt"	"noun"	"C1"
"brudny"	"बरुदनि"	"बरउदनइ"	"गंदा"	"गोंधळलेला"	"dirty"	"noun"	"A1"
"brwi"	"बरवि"	"बरवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"Brytyjski"	"बरितियसकि"	"बरइतइयसकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: British]"	"British"	"noun"	"B1"
"brzeg"	"बझेग"	"बझएग"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: shore]"	"shore"	"noun"	"B1"
"brzuch"	"बझुख"	"बझउख"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: belly]"	"belly"	"noun"	"A1"
"brzydki"	"बझिदकि"	"बझइदकइ"	"बदसूरत"	"कुरूप"	"ugly"	"noun"	"A1"
"budować"	"बुदोवअच"	"बउदओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to build]"	"to build"	"verb"	"A2"
"budynek"	"बुदिनेक"	"बउदइनएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: building]"	"building"	"noun"	"A2"
"budzić"	"बुजिच"	"बउजिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to wake]"	"to wake"	"verb"	"A2"
"burza"	"बुझअ"	"बउझअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: storm]"	"storm"	"noun"	"A1"
"but"	"बुत"	"बउत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: shoe]"	"shoe"	"noun"	"A1"
"butelka"	"बुतेलकअ"	"बउतएलकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bottle]"	"bottle"	"noun"	"A2"
"być"	"बिच"	"बिच"	"होना"	"असणे"	"to be"	"verb"	"A1"
"być może"	"बिच मोझे"	"बइच मओझए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: perhaps]"	"perhaps"	"noun"	"A1"
"bycie"	"बिचिे"	"बइचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: being]"	"being"	"noun"	"B1"
"byle co"	"बिले त्सो"	"बइलए त्सओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: anything]"	"anything"	"noun"	"A1"
"cal"	"त्सअल"	"त्सअल"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: inch]"	"inch"	"noun"	"B1"
"całkiem"	"त्सअवकिेम"	"त्सअवकइएम"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: quite]"	"quite"	"noun"	"A1"
"całkowicie"	"त्सअवकोविचिे"	"त्सअवकओवइचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: completely]"	"completely"	"noun"	"A2"
"całkowity"	"त्सअवकोविति"	"त्सअवकओवइतइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: total]"	"total"	"noun"	"C1"
"cały"	"त्सअवि"	"त्सअवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: whole]"	"whole"	"noun"	"A1"
"cel, powód"	"त्सेल, पोवउद"	"त्सएल, पओवउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: purpose]"	"purpose"	"noun"	"A2"
"celować"	"त्सेलोवअच"	"त्सएलओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to aim]"	"to aim"	"verb"	"B2"
"cena"	"त्सेनअ"	"त्सएनअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: price]"	"price"	"noun"	"B1"
"cenny"	"त्सेननि"	"त्सएननइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: precious]"	"precious"	"noun"	"C1"
"centrum"	"त्सेनतरुम"	"त्सएनतरउम"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: center]"	"center"	"noun"	"B1"
"chata"	"खअतअ"	"खअतअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: cottage]"	"cottage"	"noun"	"C1"
"chcieć"	"खचिेच"	"खचिएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to want]"	"to want"	"verb"	"A1"
"chętny"	"खएंतनि"	"खएंतनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: willing]"	"willing"	"noun"	"B1"
"chichotać"	"खिखोतअच"	"खइखओतअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to chuckle]"	"to chuckle"	"verb"	"B2"
"chiński"	"खिञसकि"	"खइञसकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: Chinese]"	"Chinese"	"noun"	"C1"
"chirurgia"	"खिरुरगिअ"	"खइरउरगइअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: operation]"	"operation"	"noun"	"B2"
"chleb"	"खलेब"	"ख्लेब"	"ब्रेड"	"ब्रेड"	"bread"	"noun"	"A1"
"chłopak"	"खवोपअक"	"खवओपअक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: boy]"	"boy"	"noun"	"A1"
"chłopiec"	"खवोपिेत्स"	"खवओपइएत्स"	"लड़का"	"मुलगा"	""	"noun"	"A1"
"chmura"	"खमुरअ"	"खमउरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: cloud]"	"cloud"	"noun"	"A1"
"chociaż"	"खोचिअझ"	"खओचिअझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: though]"	"though"	"noun"	"A1"
"chodzić"	"खोजिच"	"खओजिच"	"चलना"	"चालणे"	""	"verb"	"A1"
"cholera"	"खोलेरअ"	"खओलएरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: damn]"	"damn"	"noun"	"B1"
"chory"	"खोरि"	"खओरइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: ill]"	"ill"	"noun"	"A2"
"chronić"	"खरोनिच"	"खरओनिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to protect]"	"to protect"	"verb"	"B1"
"Chrystus"	"खरिसतुस"	"खरइसतउस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: Christ]"	"Christ"	"noun"	"B1"
"chudy"	"खुदि"	"खउदइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: thin]"	"thin"	"noun"	"A2"
"chwila"	"खविलअ"	"खवइलअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"chwycić"	"खविचिच"	"खवइचिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to grab]"	"to grab"	"verb"	"A2"
"chyba że"	"खिबअ झे"	"खइबअ झए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: unless]"	"unless"	"noun"	"B1"
"Chybienie"	"खिबिेनिे"	"खइबइएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: Miss]"	"Miss"	"noun"	"A1"
"ciągnąć"	"चिओंगनओंच"	"चिओंगनओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to pull]"	"to pull"	"noun"	"A1"
"ciało"	"चिअवो"	"चिअवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: body]"	"body"	"noun"	"A1"
"ciasno"	"चिअसनो"	"चिअसनओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: tight]"	"tight"	"noun"	"B1"
"cicho"	"चिखो"	"चिखओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: quietly]"	"quietly"	"noun"	"A2"
"cichy"	"चिखि"	"चिखइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: quiet]"	"quiet"	"noun"	"A2"
"ciekawe"	"चिेकअवे"	"चिएकअवए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: interesting]"	"interesting"	"noun"	"B1"
"ciekawość"	"चिेकअवोशच"	"चिएकअवओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: curiosity]"	"curiosity"	"noun"	"C1"
"ciekawy"	"चिेकअवि"	"चिएकअवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: curious]"	"curious"	"noun"	"B1"
"ciemność"	"चिेमनोशच"	"चिएमनओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: darkness]"	"darkness"	"noun"	"A2"
"ciemny"	"चिेमनि"	"चिएमनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: dark]"	"dark"	"noun"	"A1"
"cień"	"चिेञ"	"चिएञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: shadow]"	"shadow"	"noun"	"A2"
"ciepło"	"चिेपवो"	"चिएपवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: heat]"	"heat"	"noun"	"B1"
"ciepły"	"चिेपवि"	"चिएपवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: warm]"	"warm"	"noun"	"A1"
"cierpieć"	"चिेरपिेच"	"चिएरपइएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to suffer]"	"to suffer"	"verb"	"A2"
"cieszyć się"	"चिेशिच शिएं"	"चिएशइच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to enjoy]"	"to enjoy"	"noun"	"A2"
"ciężarówka"	"चिएंझअरउवकअ"	"चिएंझअरउवकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: truck]"	"truck"	"noun"	"B1"
"ciężki"	"चिएंझकि"	"चिएंझकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: heavy]"	"heavy"	"noun"	"A2"
"ciężko"	"चिएंझको"	"चिएंझकओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: hard]"	"hard"	"noun"	"A1"
"ciocia"	"चिोचिअ"	"चिओचिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: aunt]"	"aunt"	"noun"	"B2"
"ciśnienie"	"चिशनिेनिे"	"चिशनिएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: pressure]"	"pressure"	"noun"	"B2"
"cisza"	"चिशअ"	"चिशअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: silence]"	"silence"	"noun"	"A2"
"cło"	"त्सवो"	"त्सवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: duty]"	"duty"	"noun"	"A2"
"cnota"	"त्सनोतअ"	"त्सनओतअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: virtue]"	"virtue"	"noun"	"C1"
"co"	"त्सो"	"त्सओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: what]"	"what"	"noun"	"A1"
"codziennie"	"त्सोजिेननिे"	"त्सओजिएननिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: daily]"	"daily"	"noun"	"B2"
"cokolwiek"	"त्सोकोलविेक"	"त्सओकओलवइएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: whatever]"	"whatever"	"noun"	"A2"
"córka"	"त्सउरकअ"	"त्सउरकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: daughter]"	"daughter"	"noun"	"A1"
"coś"	"त्सोश"	"त्सओश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: something]"	"something"	"noun"	"A1"
"cudownie"	"त्सुदोवनिे"	"त्सउदओवनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wonderful]"	"wonderful"	"noun"	"B1"
"ćwiczenie"	"चविचेनिे"	"चवइचएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: exercise]"	"exercise"	"noun"	"B2"
"czajnik"	"चअयनिक"	"चअयनिक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"czapka"	"चअपकअ"	"चअपकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: cap]"	"cap"	"noun"	"B2"
"czar"	"चअर"	"चअर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: charm]"	"charm"	"noun"	"B2"
"czarny"	"चअरनि"	"चअरनइ"	"काला"	"काळा"	"black"	"noun"	"A1"
"czas"	"चअस"	"चअस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: time]"	"time"	"noun"	"A1"
"czasami"	"चअसअमि"	"चअसअमइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: sometimes]"	"sometimes"	"noun"	"A2"
"czekać"	"चेकअच"	"चएकअच"	"इंतजार करना"	"प्रतीक्षा करणे"	"to wait"	"verb"	"A1"
"czemu"	"चेमु"	"चएमउ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: why]"	"why"	"noun"	"A1"
"czerwiec"	"चेरविेत्स"	"चएरवइएत्स"	"जून"	"जून"	"June"	"noun"	"A1"
"czerwony"	"चेरवोनि"	"चएरवओनइ"	"लाल"	"लाल"	"red"	"noun"	"A1"
"cześć"	"चेशच"	"चएशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: honor]"	"honor"	"noun"	"B1"
"część"	"चएंशच"	"चएंशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: part]"	"part"	"noun"	"A1"
"często"	"चएंसतो"	"चएंसतओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: often]"	"often"	"noun"	"A1"
"członek"	"चवोनेक"	"चवओनएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: member]"	"member"	"noun"	"A2"
"człowiek"	"चवोविेक"	"चवओवइएक"	"व्यक्ति"	"व्यक्ती"	"human"	"noun"	"A1"
"czołgać się"	"चोवगअच शिएं"	"चओवगअच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to crawl]"	"to crawl"	"noun"	"B2"
"czoło"	"चोवो"	"चओवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: forehead]"	"forehead"	"noun"	"A1"
"czterdzieści"	"चतेरजिेशचि"	"चतएरजिएशचि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: forty]"	"forty"	"noun"	"A1"
"czternaście"	"चतेरनअशचिे"	"चतएरनअशचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"cztery"	"चतेरि"	"चतएरइ"	"चार"	"चार"	"four"	"noun"	"A1"
"czuć"	"चुच"	"चउच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to feel]"	"to feel"	"noun"	"A1"
"czwartek"	"चवअरतेक"	"च्वार्तेक"	"गुरुवार"	"गुरुवार"	""	"noun"	"A1"
"czy"	"चि"	"चइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: whether]"	"whether"	"noun"	"A2"
"czyścić"	"चिशचिच"	"चइशचिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to rent]"	"to rent"	"verb"	"C1"
"czyste"	"चिसते"	"चइसतए"	"स्वच्छ"	"स्वच्छ"	"proper"	"noun"	"A1"
"czysty"	"चिसति"	"चइसतइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: clean]"	"clean"	"noun"	"A2"
"czytać"	"चितअच"	"चइतअच"	"पढ़ना"	"वाचणे"	"to read"	"verb"	"A1"
"dać"	"दअच"	"दअच"	"देना"	"देणे"	""	"verb"	"A1"
"dach"	"दअख"	"दअख"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"daleko"	"दअलेको"	"दअलएकओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: far]"	"far"	"noun"	"A1"
"dama"	"दअमअ"	"दअमअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lady]"	"lady"	"noun"	"A1"
"data"	"दअतअ"	"दअतअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: date]"	"date"	"noun"	"B1"
"dawać"	"दअवअच"	"दअवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to give]"	"to give"	"verb"	"A1"
"dbać"	"दबअच"	"दबअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to care]"	"to care"	"verb"	"A1"
"decyzja"	"देत्सिज़यअ"	"दएत्सइज़यअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: decision]"	"decision"	"noun"	"B1"
